Anthony Hernandez*Roman Dolidze*Middleweight*win*August 09, 2025*
Steve Erceg*Ode Osbourne*Bantamweight*win*August 09, 2025*
Iasmin Lucindo*Angela Hill*Women's Strawweight*win*August 09, 2025*
Andre Fili*Christian Rodriguez*Featherweight*win*August 09, 2025*
Jean Matsumoto*Miles Johns*Bantamweight*win*August 09, 2025*
Christian Leroy Duncan*Eryk Anders*Middleweight*win*August 09, 2025*
Julius Walker*Rafael Cerqueira*Light Heavyweight*win*August 09, 2025*
Elijah Smith*Toshiomi Kazama*Bantamweight*win*August 09, 2025*
Joselyne Edwards*Priscila Cachoeira*Women's Bantamweight*win*August 09, 2025*
Uros Medic*Gilbert Urbina*Welterweight*win*August 09, 2025*
Gabriella Fernandes*Julija Stoliarenko*Women's Flyweight*win*August 09, 2025*
Eric McConico*Cody Brundage*Light Heavyweight*win*August 09, 2025*
Tatsuro Taira*HyunSung Park*Flyweight*win*August 02, 2025*
Chris Duncan*Mateusz Rebecki*Lightweight*win*August 02, 2025*
Esteban Ribovics*Elves Brener*Lightweight*win*August 02, 2025*
Karol Rosa*Nora Cornolle*Women's Bantamweight*win*August 02, 2025*
Neil Magny*Elizeu Zaleski dos Santos*Welterweight*win*August 02, 2025*
Kevin Vallejos*Danny Silva*Featherweight*win*August 02, 2025*
Rinya Nakamura*Nathan Fletcher*Bantamweight*win*August 02, 2025*
Rodolfo Vieira*Tresean Gore*Middleweight*win*August 02, 2025*
Andrey Pulyaev*Nick Klein*Middleweight*win*August 02, 2025*
Austin Bashi*John Yannis*Featherweight*win*August 02, 2025*
Rafael Estevam*Felipe Bunes*Flyweight*win*August 02, 2025*
Piera Rodriguez*Ketlen Souza*Women's Strawweight*win*August 02, 2025*
Reinier de Ridder*Robert Whittaker*Middleweight*win*July 26, 2025*
Petr Yan*Marcus McGhee*Bantamweight*win*July 26, 2025*
Shara Magomedov*Marc-Andre Barriault*Middleweight*win*July 26, 2025*
Asu Almabayev*Jose Ochoa*Flyweight*win*July 26, 2025*
Bogdan Guskov*Nikita Krylov*Light Heavyweight*win*July 26, 2025*
Bryce Mitchell*Said Nurmagomedov*Bantamweight*win*July 26, 2025*
Muslim Salikhov*Carlos Leal*Welterweight*win*July 26, 2025*
Davey Grant*Da'Mon Blackshear*Bantamweight*win*July 26, 2025*
Tabatha Ricci*Amanda Ribas*Women's Strawweight*win*July 26, 2025*
Billy Elekana*Ibo Aslan*Light Heavyweight*win*July 26, 2025*
Steven Nguyen*Mohammad Yahya*Featherweight*win*July 26, 2025*
Martin Buday*Marcus Buchecha*Heavyweight*win*July 26, 2025*
Max Holloway*Dustin Poirier*Lightweight*win*July 19, 2025*
Paulo Costa*Roman Kopylov*Middleweight*win*July 19, 2025*
Daniel Rodriguez*Kevin Holland*Welterweight*win*July 19, 2025*
Patricio Freire*Dan Ige*Featherweight*win*July 19, 2025*
Michael Johnson*Daniel Zellhuber*Lightweight*win*July 19, 2025*
Vinicius Oliveira*Kyler Phillips*Bantamweight*win*July 19, 2025*
Brendan Allen*Marvin Vettori*Middleweight*win*July 19, 2025*
Nikolay Veretennikov*Francisco Prado*Welterweight*win*July 19, 2025*
Ateba Gautier*Robert Valentin*Middleweight*win*July 19, 2025*
Islam Dulatov*Adam Fugitt*Welterweight*win*July 19, 2025*
Jimmy Crute*Marcin Prachnio*Light Heavyweight*win*July 19, 2025*
Ryan Spann*Lukasz Brzeski*Heavyweight*win*July 19, 2025*
Brunno Ferreira*Jackson McVey*Middleweight*win*July 19, 2025*
Carli Judice*Nicolle Caliari*Women's Flyweight*win*July 19, 2025*
Derrick Lewis*Tallison Teixeira*Heavyweight*win*July 12, 2025*
Gabriel Bonfim*Stephen Thompson*Welterweight*win*July 12, 2025*
Steve Garcia*Calvin Kattar*Featherweight*win*July 12, 2025*
Morgan Charriere*Nate Landwehr*Featherweight*win*July 12, 2025*
Vitor Petrino*Austen Lane*Heavyweight*win*July 12, 2025*
Tuco Tokkos*Junior Tafa*Light Heavyweight*win*July 12, 2025*
Chris Curtis*Max Griffin*Welterweight*win*July 12, 2025*
Jake Matthews*Chidi Njokuani*Welterweight*win*July 12, 2025*
Eduarda Moura*Lauren Murphy*Women's Flyweight*win*July 12, 2025*
Valter Walker*Kennedy Nzechukwu*Heavyweight*win*July 12, 2025*
Mike Davis*Mitch Ramirez*Lightweight*win*July 12, 2025*
Fatima Kline*Melissa Martinez*Women's Strawweight*win*July 12, 2025*
Ilia Topuria*Charles Oliveira*Lightweight*win*June 28, 2025*
Alexandre Pantoja*Kai Kara-France*Flyweight*win*June 28, 2025*
Joshua Van*Brandon Royval*Flyweight*win*June 28, 2025*
Beneil Dariush*Renato Moicano*Lightweight*win*June 28, 2025*
Payton Talbott*Felipe Lima*Bantamweight*win*June 28, 2025*
Gregory Rodrigues*Jack Hermansson*Middleweight*win*June 28, 2025*
Jose Delgado*Hyder Amil*Featherweight*win*June 28, 2025*
Tracy Cortez*Viviane Araujo*Women's Flyweight*win*June 28, 2025*
Terrance McKinney*Viacheslav Borshchev*Lightweight*win*June 28, 2025*
Jacobe Smith*Niko Price*Welterweight*win*June 28, 2025*
Jhonata Diniz*Alvin Hines*Heavyweight*win*June 28, 2025*
Khalil Rountree Jr.*Jamahal Hill*Light Heavyweight*win*June 21, 2025*
Rafael Fiziev*Ignacio Bahamondes*Lightweight*win*June 21, 2025*
Curtis Blaydes*Rizvan Kuniev*Heavyweight*win*June 21, 2025*
Myktybek Orolbai*Tofiq Musayev*Catch Weight*win*June 21, 2025*
Nazim Sadykhov*Nikolas Motta*Lightweight*win*June 21, 2025*
Muhammad Naimov*Bogdan Grad*Featherweight*win*June 21, 2025*
Seokhyeon Ko*Oban Elliott*Welterweight*win*June 21, 2025*
JunYong Park*Ismail Naurdiev*Middleweight*win*June 21, 2025*
Daria Zhelezniakova*Melissa Mullins*Women's Bantamweight*win*June 21, 2025*
Klaudia Sygula*Irina Alekseeva*Women's Bantamweight*win*June 21, 2025*
Tagir Ulanbekov*Azat Maksum*Flyweight*win*June 21, 2025*
Mohammed Usman*Hamdy Abdelwahab*Heavyweight*win*June 21, 2025*
Kamaru Usman*Joaquin Buckley*Welterweight*win*June 14, 2025*
Rose Namajunas*Miranda Maverick*Women's Flyweight*win*June 14, 2025*
Edmen Shahbazyan*Andre Petroski*Middleweight*win*June 14, 2025*
Raoni Barcelos*Cody Garbrandt*Bantamweight*win*June 14, 2025*
Mansur Abdul-Malik*Cody Brundage*Middleweight*draw*June 14, 2025*
Alonzo Menifield*Oumar Sy*Light Heavyweight*win*June 14, 2025*
Paul Craig*Rodolfo Bellato*Light Heavyweight*draw*June 14, 2025*
Michael Chiesa*Court McGee*Welterweight*win*June 14, 2025*
Malcolm Wellmaker*Kris Moutinho*Bantamweight*win*June 14, 2025*
Jose Ochoa*Cody Durden*Flyweight*win*June 14, 2025*
Ricky Simon*Cameron Smotherman*Bantamweight*win*June 14, 2025*
Phil Rowe*Ange Loosa*Welterweight*win*June 14, 2025*
Jamey-Lyn Horth*Vanessa Demopoulos*Women's Flyweight*win*June 14, 2025*
Merab Dvalishvili*Sean O'Malley*Bantamweight*win*June 07, 2025*
Kayla Harrison*Julianna Pena*Women's Bantamweight*win*June 07, 2025*
Joe Pyfer*Kelvin Gastelum*Middleweight*win*June 07, 2025*
Mario Bautista*Patchy Mix*Bantamweight*win*June 07, 2025*
Kevin Holland*Vicente Luque*Welterweight*win*June 07, 2025*
Joshua Van*Bruno Silva*Flyweight*win*June 07, 2025*
Azamat Murzakanov*Brendson Ribeiro*Light Heavyweight*win*June 07, 2025*
Waldo Cortes-Acosta*Serghei Spivac*Heavyweight*win*June 07, 2025*
Andreas Gustafsson*Khaos Williams*Welterweight*win*June 07, 2025*
Wang Cong*Ariane da Silva*Women's Flyweight*win*June 07, 2025*
JooSang Yoo*Jeka Saragih*Featherweight*win*June 07, 2025*
Quillan Salkilld*Yanal Ashmouz*Lightweight*win*June 07, 2025*
MarQuel Mederos*Mark Choinski*Lightweight*win*June 07, 2025*
Mateusz Gamrot*Ludovit Klein*Lightweight*win*May 31, 2025*
Ramiz Brahimaj*Billy Ray Goff*Welterweight*win*May 31, 2025*
